"","Feature","MIC","p-value","FDR"
"SERPINF1","SERPINF1",0.36,"1.08e-10"," 1.66e-10"
"CNN1","CNN1",0.36,"5.24e-09"," 7.52e-09"
"FBLN2","FBLN2",0.35,"4.1e-07"," 5.49e-07"
"HIST1H1C","HIST1H1C",0.35,"6.46e-11"," 9.98e-11"
"PCOLCE","PCOLCE",0.35,"1.92e-08"," 2.70e-08"
"COL4A1","COL4A1",0.35,"7.45e-08"," 1.03e-07"
"MYL9","MYL9",0.35,"1.84e-08"," 2.60e-08"
"MXRA8","MXRA8",0.34,"1.67e-09"," 2.44e-09"
"LAMC1","LAMC1",0.34,"3.33e-09"," 4.81e-09"
"LBH","LBH",0.34,"3.26e-07"," 4.39e-07"
"TGFBI","TGFBI",0.34,"8.96e-07"," 1.18e-06"
"TPM2","TPM2",0.34,"4.61e-07"," 6.14e-07"
"ACTA2","ACTA2",0.34,"5.28e-09"," 7.52e-09"
"GPNMB","GPNMB",0.33,"2.01e-07"," 2.74e-07"
"NUPR1","NUPR1",0.33,"1.51e-05"," 1.94e-05"
"SAMHD1","SAMHD1",0.33,"1.77e-07"," 2.42e-07"
"EMP1","EMP1",0.32,"2.31e-04"," 2.81e-04"
"COL4A2","COL4A2",0.32,"6.41e-05"," 8.06e-05"
"LTBP2","LTBP2",0.32,"6.6e-05"," 8.24e-05"
"MYH11","MYH11",0.32,"4.38e-05"," 5.57e-05"
"EMP3","EMP3",0.32,"1.32e-06"," 1.74e-06"
"COL6A1","COL6A1",0.32,"1.41e-06"," 1.84e-06"
"PDGFRB","PDGFRB",0.31,"4.06e-04"," 4.89e-04"
"SERPINB6","SERPINB6",0.31,"1.19e-05"," 1.55e-05"
"ENTPD1","ENTPD1",0.31,"5.56e-05"," 7.03e-05"
"CTSK","CTSK",0.3,"2.06e-04"," 2.52e-04"
"PXDN","PXDN",0.3,"1.9e-04"," 2.35e-04"
"SELENOP","SELENOP",0.3,"4.02e-05"," 5.15e-05"
"TIMP2","TIMP2",0.3,"1.67e-04"," 2.08e-04"
"CD55","CD55",0.29,"8.65e-04"," 1.03e-03"
"EMILIN1","EMILIN1",0.29,"5.34e-04"," 6.39e-04"
"FILIP1L","FILIP1L",0.29,"3.27e-03"," 3.78e-03"
"COL6A2","COL6A2",0.29,"3.44e-04"," 4.17e-04"
"PLOD2","PLOD2",0.28,"7.85e-03"," 8.82e-03"
"TRIM22","TRIM22",0.28,"1.36e-03"," 1.60e-03"
"MRVI1","MRVI1",0.28,"5.51e-03"," 6.25e-03"
"ITGA5","ITGA5",0.28,"9.18e-04"," 1.09e-03"
"TRAC","TRAC",0.28,"7.61e-03"," 8.60e-03"
"BST2","BST2",0.28,"1.39e-03"," 1.62e-03"
"TSC22D3","TSC22D3",0.28,"4.7e-03"," 5.40e-03"
"IFI16","IFI16",0.27,"5.13e-03"," 5.86e-03"
"ZEB2","ZEB2",0.27,"1.79e-02"," 1.97e-02"
"WIPF1","WIPF1",0.27,"3.2e-03"," 3.72e-03"
"BASP1","BASP1",0.27,"1.44e-02"," 1.59e-02"
"C11orf96","C11orf96",0.27,"9.06e-03"," 1.01e-02"
"PDPN","PDPN",0.26,"6.05e-02"," 6.43e-02"
"DUSP1","DUSP1",0.26,"5.87e-02"," 6.27e-02"
"ANXA1","ANXA1",0.26,"5.18e-02"," 5.57e-02"
"COL15A1","COL15A1",0.26,"2.87e-02"," 3.12e-02"
"KCTD12","KCTD12",0.26,"3.09e-02"," 3.34e-02"
"EVL","EVL",0.26,"8.12e-02"," 8.59e-02"
"IL32","IL32",0.26,"1.48e-02"," 1.63e-02"
"PMP22","PMP22",0.26,"2.57e-02"," 2.80e-02"
"LRRC32","LRRC32",0.25,"1.01e-01"," 1.06e-01"
"HSPG2","HSPG2",0.24,"2.2e-01"," 2.29e-01"
"TRBC2","TRBC2",0.24,"1.96e-01"," 2.05e-01"
"CLIC4","CLIC4",0.22,"4.17e-01"," 4.32e-01"
"MEIS1","MEIS1",0.22,"4.62e-01"," 4.76e-01"
"AKAP12","AKAP12",0.22,"5.65e-01"," 5.76e-01"
"EHD2","EHD2",0.22,"5.3e-01"," 5.43e-01"
"STAT1","STAT1",0.2,"7.9e-01"," 8.02e-01"
"PDLIM7","PDLIM7",0.2,"8.11e-01"," 8.19e-01"
"FOS","FOS",0.2,"8.57e-01"," 8.61e-01"
"SERPING1","SERPING1",0.19,"8.91e-01"," 8.91e-01"
