"","da123...1.","sublayer1","sublayer3","sublayer5","L5vsL1_pvalue","L5vsL1_FDR","L5vsL3_pvalue","L5vsL3_FDR"
"7","CRYAB, median [95%CI]","0 [0 6.159]","2.359 [0 6.127]","2.683 [0 6.269]","1.07e-22"," 2.74e-21","5.32e-10","5.91e-08"
"57","CPB1, median [95%CI]","0 [0 2.796]","0 [0 4.486]","0 [0 4.936]","5.58e-62"," 9.29e-60","9.87e-10","1.04e-07"
"436","ISG15, median [95%CI]","0 [0 5.663]","0 [0 5.525]","0 [0 6.078]","4.02e-34"," 3.09e-32","1.12e-09","1.12e-07"
"193","HLA-A, median [95%CI]","0 [0 5.691]","0 [0 5.563]","1.491 [0 5.795]","1.41e-22"," 3.53e-21","2.21e-09","2.11e-07"
"749","PFKP, median [95%CI]","0 [0 6.428]","0 [0 6.402]","2.543 [0 6.636]","3.47e-36"," 3.02e-34","3.52e-09","3.20e-07"
"1389","SMYD2, median [95%CI]","0 [0 5.531]","0 [0 5.19]","0 [0 5.162]","7.97e-26"," 3.13e-24","4.73e-09","3.97e-07"
"449","CALML5, median [95%CI]","0 [0 4.799]","0 [0 4.966]","0 [0 4.947]","6.85e-23"," 1.80e-21","4.76e-09","3.97e-07"
"434","H2AFJ, median [95%CI]","0 [0 4.895]","0 [0 4.912]","0 [0 4.653]","1.65e-14"," 1.69e-13","5.8e-09","4.64e-07"
"212","STMN2, median [95%CI]","3.725 [0 7.644]","4.746 [0 7.934]","5.186 [0 7.852]","6.51e-81"," 1.45e-78","6.99e-09","5.38e-07"
"773","NREP, median [95%CI]","0 [0 5.932]","0 [0 5.7]","0 [0 6.041]","1.86e-21"," 4.23e-20","7.77e-09","5.76e-07"
"236","CDK18, median [95%CI]","0 [0 3.694]","0 [0 3.709]","0 [0 3.899]","7.23e-17"," 9.63e-16","1.39e-08","9.91e-07"
"124","COX6C, median [95%CI]","4.917 [0 7.288]","5.182 [2.023 7.465]","5.389 [2.679 7.498]","1.01e-31"," 6.48e-30","1.44e-08","9.91e-07"
"700","HBA2, median [95%CI]","0 [0 3.196]","0 [0 3.187]","0 [0 3.133]","3.15e-25"," 1.10e-23","2.33e-08","1.55e-06"
"1273","CAMK2N2, median [95%CI]","0 [0 5.904]","0 [0 5.706]","0 [0 5.907]","1.97e-25"," 7.43e-24","2.61e-08","1.68e-06"
"306","EFHD2, median [95%CI]","0 [0 5.738]","0 [0 5.743]","0 [0 5.702]","1.11e-29"," 5.83e-28","2.7e-08","1.69e-06"
"446","DCLK1, median [95%CI]","0 [0 5.971]","2.294 [0 6.191]","2.773 [0 6.344]","2.81e-50"," 3.75e-48","2.87e-08","1.74e-06"
"10","MAG, median [95%CI]","0 [0 4.89]","0 [0 4.458]","0 [0 4.361]","8.37e-24"," 2.33e-22","3.83e-08","2.25e-06"
"219","NDRG4, median [95%CI]","3.471 [0 7.154]","3.726 [0 6.968]","4.204 [0 7.03]","4.39e-26"," 1.76e-24","1.1e-07","6.26e-06"
"159","PIP, median [95%CI]","0 [0 3.981]","0 [0 4.143]","0 [0 4.17]","3.73e-13"," 3.08e-12","1.44e-07","7.99e-06"
"295","NEFM, median [95%CI]","0 [0 6.677]","3.399 [0 7.154]","3.645 [0 7.647]","2.55e-95"," 1.02e-92","2.17e-07","1.17e-05"
"1619","NGB, median [95%CI]","0 [0 5.003]","0 [0 5.08]","0 [0 4.904]","6.19e-29"," 3.10e-27","2.23e-07","1.17e-05"
"1846","ACYP2, median [95%CI]","0 [0 5.164]","0 [0 5.289]","1.517 [0 5.032]","3.3e-24"," 9.72e-23","2.72e-07","1.39e-05"
"20","RNASE1, median [95%CI]","0 [0 5.518]","0 [0 5.488]","0 [0 5.384]","5.26e-15"," 5.84e-14","2.79e-07","1.39e-05"
"17","SPP1, median [95%CI]","0 [0 5.094]","0 [0 4.914]","0 [0 4.587]","1.41e-16"," 1.81e-15","2.84e-07","1.39e-05"
"391","MYL6, median [95%CI]","3.673 [0 7.538]","3.656 [0 7.21]","4.011 [0 7.279]","1.92e-09"," 9.44e-09","3.46e-07","1.63e-05"
"299","CALY, median [95%CI]","3.566 [0 7.564]","3.609 [0 7.414]","3.872 [0 7.573]","7.46e-12"," 5.03e-11","3.5e-07","1.63e-05"
"1274","VDAC3, median [95%CI]","0 [0 6.497]","0 [0 6.004]","1.968 [0 6.085]","5.62e-14"," 5.22e-13","4.87e-07","2.21e-05"
"1794","FAM198B, median [95%CI]","0 [0 4.709]","0 [0 4.888]","0 [0 4.605]","1.25e-31"," 7.84e-30","5.11e-07","2.27e-05"
"18","CLDN11, median [95%CI]","0 [0 4.892]","0 [0 4.646]","0 [0 4.214]","1.22e-11"," 7.76e-11","5.65e-07","2.42e-05"
"337","SLC24A2, median [95%CI]","0 [0 6.189]","0 [0 5.905]","0 [0 6.107]","4.09e-33"," 2.92e-31","5.69e-07","2.42e-05"
"777","CAMK2G, median [95%CI]","0 [0 6]","0 [0 5.806]","0 [0 5.844]","2.69e-25"," 9.79e-24","8.39e-07","3.50e-05"
"1232","EPS15, median [95%CI]","0 [0 6.061]","0 [0 5.912]","0 [0 5.77]","4.5e-25"," 1.50e-23","8.75e-07","3.57e-05"
"156","ATP1A3, median [95%CI]","3.622 [0 7.615]","3.769 [0 7.374]","4.115 [0 7.407]","1.26e-16"," 1.62e-15","9.16e-07","3.66e-05"
